country_code,nace_r2_code,year,gross_exports_usd_m,trade_available
ES,C16-C18,2009,6123.881485778107,True
ES,C16-C18,2010,7480.077925192911,True
ES,C16-C18,2011,8240.603625909856,True
ES,C16-C18,2012,7192.7461811304875,True
ES,C16-C18,2013,7488.601157852381,True
ES,C16-C18,2014,7324.111576429244,True
ES,C19,2000,4793.720850561161,True
ES,C19,2001,3499.312687118619,True
ES,C19,2002,3136.8373343449757,True
ES,C19,2003,4305.263283555741,True
ES,C19,2004,6198.767466037064,True
ES,C19,2005,7881.333868017374,True
ES,C19,2006,10145.539099920641,True
ES,C19,2007,12306.20060800953,True
ES,C19,2008,18428.97665313946,True
ES,C19,2009,11212.911009853815,True
ES,C19,2010,16483.78138221764,True
ES,C19,2011,29360.86006468617,True
ES,C19,2012,32144.001547916218,True
ES,C19,2013,32133.203007317803,True
ES,C19,2014,28944.800240572367,True
ES,C20-C21,2000,9784.009624667226,True
ES,C20-C21,2001,10505.777062663154,True
ES,C20-C21,2002,12239.98685935295,True
ES,C20-C21,2003,15365.495540951113,True
ES,C20-C21,2004,17943.054116836065,True
ES,C20-C21,2005,20469.747058380755,True
ES,C20-C21,2006,22303.673469406276,True
ES,C20-C21,2007,29097.94808374326,True
ES,C20-C21,2008,32084.637277180256,True
ES,C20-C21,2009,27918.941792964102,True
ES,C20-C21,2010,32735.360065958776,True
ES,C20-C21,2011,35437.711336496024,True
ES,C20-C21,2012,33870.48732966905,True
ES,C20-C21,2013,36315.28842489235,True
ES,C20-C21,2014,37682.98537327262,True
ES,C22-C23,2000,6878.329637799354,True
ES,C22-C23,2001,7267.481782726545,True
ES,C22-C23,2002,7658.89204310734,True
ES,C22-C23,2003,8945.517291391814,True
ES,C22-C23,2004,10202.860339691702,True
ES,C22-C23,2005,10589.175496293637,True
ES,C22-C23,2006,11529.119006540155,True
ES,C22-C23,2007,14252.144187183225,True
ES,C22-C23,2008,14852.019260241734,True
ES,C22-C23,2009,12521.462871908241,True
ES,C22-C23,2010,14297.413063317159,True
ES,C22-C23,2011,16651.14578257512,True
ES,C22-C23,2012,14777.935269827507,True
ES,C22-C23,2013,16001.634523722612,True
ES,C22-C23,2014,16228.657971003013,True
ES,C24-C25,2000,8758.71438238149,True
ES,C24-C25,2001,8366.69389472049,True
ES,C24-C25,2002,8870.05926095181,True
ES,C24-C25,2003,10833.2862898227,True
ES,C24-C25,2004,14138.829917143548,True
ES,C24-C25,2005,15682.166642977229,True
ES,C24-C25,2006,18768.534096492585,True
ES,C24-C25,2007,25050.725966538696,True
ES,C24-C25,2008,28372.570430200765,True
ES,C24-C25,2009,20334.10253226181,True
ES,C24-C25,2010,26606.30294089287,True
ES,C24-C25,2011,31945.15531322764,True
ES,C24-C25,2012,29322.801980851018,True
ES,C24-C25,2013,28651.25660862687,True
ES,C24-C25,2014,28751.396306495313,True
ES,C26-C27,2000,9267.632195361835,True
ES,C26-C27,2001,9399.880295399906,True
ES,C26-C27,2002,9060.099568815422,True
ES,C26-C27,2003,10988.380062571548,True
ES,C26-C27,2004,12534.454268263184,True
ES,C26-C27,2005,12975.229144592387,True
ES,C26-C27,2006,14059.932256944003,True
ES,C26-C27,2007,16856.261612347727,True
ES,C26-C27,2008,17755.178868420902,True
ES,C26-C27,2009,13597.645765827841,True
ES,C26-C27,2010,15221.168845920825,True
ES,C26-C27,2011,16380.663730700577,True
ES,C26-C27,2012,14717.45742751415,True
ES,C26-C27,2013,14557.626551028694,True
ES,C26-C27,2014,14657.715312844575,True
ES,C28,2000,4898.2629143714075,True
ES,C28,2001,5239.478999320743,True
ES,C28,2002,5567.227528879824,True
ES,C28,2003,6536.904332354686,True
ES,C28,2004,7821.291310817943,True
ES,C28,2005,8169.703549324286,True
ES,C28,2006,9234.123191151146,True
ES,C28,2007,12343.192559839208,True
ES,C28,2008,13866.6343604895,True
ES,C28,2009,11023.764731308751,True
ES,C28,2010,11073.331401672789,True
ES,C28,2011,13497.555265481575,True
ES,C28,2012,14040.02020226531,True
ES,C28,2013,14707.345112995321,True
ES,C28,2014,15027.228908689398,True
ES,C29-C30,2000,27042.555980175945,True
ES,C29-C30,2001,25898.193852288,True
ES,C29-C30,2002,28171.79753973837,True
ES,C29-C30,2003,36282.79628565977,True
ES,C29-C30,2004,43233.3592682751,True
ES,C29-C30,2005,42682.577999564644,True
ES,C29-C30,2006,45775.2306030774,True
ES,C29-C30,2007,55269.85450622544,True
ES,C29-C30,2008,52969.02198260836,True
ES,C29-C30,2009,44933.71018161945,True
ES,C29-C30,2010,51549.28509535663,True
ES,C29-C30,2011,58967.81928569435,True
ES,C29-C30,2012,49971.175017463676,True
ES,C29-C30,2013,57871.71778598273,True
ES,C29-C30,2014,59890.37043419463,True
ES,C31-C33,2000,2933.125570957715,True
ES,C31-C33,2001,3063.7927290030784,True
ES,C31-C33,2002,3301.6344974116173,True
ES,C31-C33,2003,3935.251919236144,True
ES,C31-C33,2004,4693.120733976711,True
ES,C31-C33,2005,4750.11226702765,True
ES,C31-C33,2006,4987.753385521439,True
ES,C31-C33,2007,6080.256970672645,True
ES,C31-C33,2008,6530.427883983631,True
ES,C31-C33,2009,5574.271319554661,True
ES,C31-C33,2010,5499.3050268240395,True
ES,C31-C33,2011,5772.513275738486,True
ES,C31-C33,2012,5505.907791242324,True
ES,C31-C33,2013,5686.780504226549,True
ES,C31-C33,2014,5826.340350298952,True
FI,C10-C12,2000,827.4287693615064,True
FI,C10-C12,2001,855.1788488714919,True
FI,C10-C12,2002,950.8275900819574,True
FI,C10-C12,2003,1113.5065146584657,True
FI,C10-C12,2004,1280.3189683602598,True
FI,C10-C12,2005,1293.9199450057545,True
FI,C10-C12,2006,1447.3537416307765,True
FI,C10-C12,2007,1804.1357299805748,True
FI,C10-C12,2008,2149.045674494061,True
FI,C10-C12,2009,1799.3401473540243,True
FI,C10-C12,2010,1840.929983791787,True
FI,C10-C12,2011,2373.3722574277663,True
FI,C10-C12,2012,2349.886761038323,True
FI,C10-C12,2013,2461.592666018453,True
FI,C10-C12,2014,2385.458880301593,True
FI,C13-C15,2000,542.8081301601567,True
FI,C13-C15,2001,554.3256164536099,True
FI,C13-C15,2002,593.6494949699639,True
FI,C13-C15,2003,656.9587888043799,True
FI,C13-C15,2004,722.5737603816207,True
FI,C13-C15,2005,779.8791156510644,True
FI,C13-C15,2006,832.2451609177411,True
FI,C13-C15,2007,963.0835387556674,True
FI,C13-C15,2008,1020.6394562046331,True
FI,C13-C15,2009,766.660036354505,True
FI,C13-C15,2010,809.7801912821026,True
FI,C13-C15,2011,992.4546153784419,True
FI,C13-C15,2012,930.1803892016559,True
FI,C13-C15,2013,989.2775332433303,True
FI,C13-C15,2014,958.0613120360025,True
FI,C16-C18,2000,11719.881011297142,True
FI,C16-C18,2001,10790.00869846996,True
FI,C16-C18,2002,11157.44266768273,True
FI,C16-C18,2003,12923.152634537575,True
