country_code,nace_r2_code,year,gross_exports_usd_m,trade_available
BE,C22-C23,2002,7555.7168842743595,True
BE,C22-C23,2003,8947.753077973191,True
BE,C22-C23,2004,10653.762468147892,True
BE,C22-C23,2005,10800.12775615235,True
BE,C22-C23,2006,11505.849538051963,True
BE,C22-C23,2007,13785.213627026369,True
BE,C22-C23,2008,14300.428774993365,True
BE,C22-C23,2009,11262.832401796437,True
BE,C22-C23,2010,10837.620530745462,True
BE,C22-C23,2011,12083.48656265849,True
BE,C22-C23,2012,10531.640278840905,True
BE,C22-C23,2013,10568.71468478976,True
BE,C22-C23,2014,10740.858834754144,True
BE,C24-C25,2000,14926.922266743213,True
BE,C24-C25,2001,13503.83318703324,True
BE,C24-C25,2002,14186.641651660808,True
BE,C24-C25,2003,17185.336268197927,True
BE,C24-C25,2004,23086.725212269594,True
BE,C24-C25,2005,26003.20357943135,True
BE,C24-C25,2006,32962.87714518182,True
BE,C24-C25,2007,42314.84595486788,True
BE,C24-C25,2008,44094.2842500241,True
BE,C24-C25,2009,26936.77641443948,True
BE,C24-C25,2010,29062.071887095546,True
BE,C24-C25,2011,36549.00859707249,True
BE,C24-C25,2012,30566.163494775916,True
BE,C24-C25,2013,27967.56318533532,True
BE,C24-C25,2014,27854.459751708717,True
BE,C26-C27,2000,8744.270606272563,True
BE,C26-C27,2001,7904.425481112328,True
BE,C26-C27,2002,7004.831680226942,True
BE,C26-C27,2003,8152.630328647379,True
BE,C26-C27,2004,9392.446220427424,True
BE,C26-C27,2005,8840.355665789273,True
BE,C26-C27,2006,9397.732550439228,True
BE,C26-C27,2007,9975.127279488177,True
BE,C26-C27,2008,10706.387614976535,True
BE,C26-C27,2009,8720.816574396387,True
BE,C26-C27,2010,8539.747494309424,True
BE,C26-C27,2011,9376.277763153372,True
BE,C26-C27,2012,8502.9488437713,True
BE,C26-C27,2013,8175.193005853413,True
BE,C26-C27,2014,8020.805398700106,True
BE,C28,2000,5864.976676623446,True
BE,C28,2001,5652.375192964495,True
BE,C28,2002,5855.085804099368,True
BE,C28,2003,6868.904716911149,True
BE,C28,2004,8099.151639859581,True
BE,C28,2005,8197.825513461576,True
BE,C28,2006,9175.608690329967,True
BE,C28,2007,11432.41847721084,True
BE,C28,2008,12662.579337092111,True
BE,C28,2009,9385.659508096953,True
BE,C28,2010,9713.697798032486,True
BE,C28,2011,11678.14474802043,True
BE,C28,2012,10886.972618281376,True
BE,C28,2013,10786.946815908983,True
BE,C28,2014,10903.835460335782,True
BE,C29-C30,2000,16903.895669295413,True
BE,C29-C30,2001,18292.293762926456,True
BE,C29-C30,2002,18602.65888449948,True
BE,C29-C30,2003,20895.988108257712,True
BE,C29-C30,2004,24862.57675139934,True
BE,C29-C30,2005,23580.57175516494,True
BE,C29-C30,2006,24014.54428350347,True
BE,C29-C30,2007,25720.87789689661,True
BE,C29-C30,2008,26108.76876583504,True
BE,C29-C30,2009,17847.144214066007,True
BE,C29-C30,2010,20007.06558423873,True
BE,C29-C30,2011,25313.905779318506,True
BE,C29-C30,2012,22446.14560368919,True
BE,C29-C30,2013,23174.030102672965,True
BE,C29-C30,2014,23591.174238094238,True
BE,C31-C33,2000,3317.9242753642575,True
BE,C31-C33,2001,3274.7080279707825,True
BE,C31-C33,2002,3238.34134294412,True
BE,C31-C33,2003,3574.8579183649285,True
BE,C31-C33,2004,4055.666597909283,True
BE,C31-C33,2005,3816.2620170250775,True
BE,C31-C33,2006,3875.17444159406,True
BE,C31-C33,2007,4488.704870776713,True
BE,C31-C33,2008,5025.6892897432335,True
BE,C31-C33,2009,4783.178447350776,True
BE,C31-C33,2010,4937.906953817127,True
BE,C31-C33,2011,5518.473017689081,True
BE,C31-C33,2012,5058.451037890749,True
BE,C31-C33,2013,5043.057384999536,True
BE,C31-C33,2014,5199.232735305939,True
BG,C10-C12,2000,43.85155852147727,True
BG,C10-C12,2001,48.212310087448486,True
BG,C10-C12,2002,67.42908103245236,True
